序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(202112),净利润(202112),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
1,000001,平安银行,平安银行股份有限公司,广东,深圳市,1693.83亿,363.36亿,40651,1991-04-03,--,,银行,商业银行业务,经有关监管机构批准的各项商业银行业务。
2,000002,万科A,万科企业股份有限公司,广东,深圳市,4527.98亿,380.70亿,139494,1991-01-29,--,,房地产开发,房地产、物业管理、投资咨询,房地产开发和物业服务。
3,000004,国华网安,深圳国华网安科技股份有限公司,广东,深圳市,--,--,264,1991-01-14,--,,生物医药,移动应用安全服务、移动互联网游戏,移动应用安全服务业务。
4,000005,ST星源,深圳世纪星源股份有限公司,广东,深圳市,--,--,629,1990-12-10,--,,环保工程、物业管理,酒店经营、物业管理、环保业务,绿色低碳城市社区建设相关的服务业务。
5,000006,深振业A,深圳市振业(集团)股份有限公司,广东,深圳市,--,--,397,1992-04-27,--,,房地产开发,房地产,从事房地产开发与销售。
6,000007,*ST全新,深圳市全新好股份有限公司,广东,深圳市,--,--,76,1992-04-13,--,,物业经营,物业管理及停车费、房屋租赁、一次性口罩、纳米胶囊、杀菌纸巾,物业管理和房屋租赁业等
7,000008,神州高铁,神州高铁技术股份有限公司,北京,北京市,--,--,2394,1992-05-07,--,,轨道交通设备,轨道交通,专业致力于提供轨道交通运营检修装备与数据、线路运营、维保服务。
8,000009,中国宝安,中国宝安集团股份有限公司,广东,深圳市,176.06亿,17.59亿,14335,1991-06-25,--,,综合,高新技术产业、生物医药、房地产,高新技术产业、生物医药产业、房地产及其他产业。
9,000010,美丽生态,深圳美丽生态股份有限公司,广东,深圳市,--,--,278,1995-10-27,--,,园林工程,燃气销售服务、园林建设、园林设计、苗木销售,工程施工、园林绿化及环境综合整治。
10,000011,深物业A,深圳市物业发展(集团)股份有限公司,广东,深圳市,44.92亿,9.87亿,7658,1992-03-30,--,,房地产开发,产城空间开发、物业管理服务、产业生态运营、餐饮业务、工程监理业务,从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等。
11,000012,南玻A,中国南玻集团股份有限公司,广东,深圳市,--,--,10558,1992-02-28,--,,玻璃,玻璃业务、电子玻璃及显示器件业务、太阳能及其他业务,研发、生产制造和销售优质浮法玻璃和工程玻璃、太阳能玻璃和硅材料、光伏电池和组件等可再生能源产品，超薄电子玻璃和显示器件等新材料和信息显示产品，提供光伏电站项目开发、建设、运维一站式服务等。
12,000014,沙河股份,沙河实业股份有限公司,广东,深圳市,6.42亿,4898.94万,128,1992-06-02,--,,房地产开发,房地产销售,从事房地产开发与经营、现代服务型产业用房运营与管理。
13,000016,深康佳A,康佳集团股份有限公司,广东,深圳市,491.07亿,8.07亿,16238,1992-03-27,--,,电视机,工贸业务、彩电业务、环保业务、白电业务、半导体业务,消费类电子业务、工贸业务、环保业务、半导体业务。
14,000017,深中华A,深圳中华自行车(集团)股份有限公司,广东,深圳市,--,--,65,1992-03-31,--,,自行车,自行车及零配件销售、锂电池材料、珠宝黄金,自行车及锂电池材料业务、珠宝黄金业务。
15,000019,深粮控股,深圳市深粮控股股份有限公司,广东,深圳市,--,--,1246,1992-10-12,--,,软饮料,食品和饮料及茶加工、粮油贸易及加工、粮油仓储物流及服务,批发零售业务、食品加工制造业务、租赁及商务服务业务。
16,000020,深华发A,深圳中恒华发股份有限公司,广东,深圳市,--,--,1132,1992-04-28,--,,电子零部件,显示器、注塑件、EPS产品、物业租赁、废料收入、水电费及其他,精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务。
17,000021,深科技,深圳长城开发科技股份有限公司,广东,深圳市,--,--,27051,1994-02-02,--,,PC、服务器及硬件,存储半导体业务、自有产品、高端制造,致力于为全球客户提供技术研发、工艺设计、生产加工、采购管理、物流支持等电子产品制造服务。
18,000023,深天地A,深圳市天地(集团)股份有限公司,广东,深圳市,--,--,984,1993-04-29,--,,商品混凝土,房地产、工业、租赁,商品混凝土的生产和销售、房地产的开发及物业管理等。
19,000025,特力A,深圳市特力(集团)股份有限公司,广东,深圳市,--,--,302,1993-06-21,--,,汽车销售,汽车销售、汽车维修及检测、珠宝批发及零售、物业租赁及服务,汽车销售、汽车检测、维修及配件销售；资源性资产管理；珠宝服务业务。
20,000026,飞亚达,飞亚达精密科技股份有限公司,广东,深圳市,52.44亿,3.88亿,5081,1993-06-03,--,,珠宝首饰,手表品牌业务、手表零售服务业务、精密科技业务、租赁业务,"主要从事钟表及其零配件的设计、开发、制造、销售和维修业务，包括""飞亚达""表的产品经营和世界名表的商业连锁销售。"
21,000027,深圳能源,深圳能源集团股份有限公司,广东,深圳市,--,--,7384,1993-09-03,--,,火电,燃煤、燃机、水电、风电、生态环保、综合燃气,"各种常规能源和新能源的开发、生产、购销,以及城市固体废物处理、城市燃气供应和废水处理等。"
22,000028,国药一致,国药集团一致药业股份有限公司,广东,深圳市,683.58亿,15.28亿,39386,1993-08-09,--,,医药商业,药品、器械耗材、诊断试剂、仪器设备,医药分销和医药零售。
23,000029,深深房A,深圳经济特区房地产(集团)股份有限公司,广东,深圳市,13.21亿,2.18亿,1578,1993-09-15,--,,房地产开发,住宅、商铺、车位,住宅地产开发。
24,000030,富奥股份,富奥汽车零部件股份有限公司,吉林,长春市,--,--,7397,1993-09-29,--,,汽车零部件,零部件,汽车零部件的研发、生产和销售。
25,000031,大悦城,大悦城控股集团股份有限公司,广东,深圳市,--,--,10283,1993-10-08,--,,房地产开发,商品房销售、一级土地开发、投资物业及相关服务、酒店经营、物业及其他管理,房地产开发、经营、销售、出租及管理住宅、商用物业，经营业态涵盖住宅、商业地产及部分产业地产。
26,000032,深桑达A,深圳市桑达实业股份有限公司,广东,深圳市,--,--,476,1993-10-28,--,,电子物流,电子信息、房地产及租赁、电子商贸、电子物流,电子制造、电子商贸、电子物流服务等在内的一体化现代电子信息服务。
27,000034,神州数码,神州数码集团股份有限公司,广东,深圳市,1223.85亿,2.50亿,5210,1994-05-09,--,,贸易,云计算和数字化转型业务、信息技术应用创新业务,云计算和数字化转型业务、信息技术应用创新业务、信息技术应用创新业务。
28,000035,中国天楹,中国天楹股份有限公司,江苏,南通市,205.93亿,8.68亿,15326,1994-04-08,--,,垃圾发电,综合城市环境服务、废弃物处置与利用、水务综合管理、工业废弃物处置、环保装备制造,综合城市环境服务、废弃物处置与利用、水务综合管理、工业废弃物处置和环保装备制造。
29,000036,华联控股,华联控股股份有限公司,广东,深圳市,--,--,806,1994-06-17,--,,房地产开发,房产销售、房地产出租、酒店收入,房地产开发和物业经营与服务管理业务。
30,000037,深南电A,深圳南山热电股份有限公司,广东,深圳市,7.57亿,-5.09亿,392,1994-07-01,--,,火电,能源行业、工程劳务、污泥干化,生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务。
31,000038,深大通,深圳大通实业股份有限公司,广东,深圳市,--,--,147,1994-08-08,--,,网络媒体,煤炭、铁精粉贸易、广告发布、民间资本管理、保理业务,以生物技术研究及创新医药、生物工程及后端衍生功能性健康消费品为主要发展方向，以供应链服务及民间资本管理提供金融服务支持，以区块链技术为辅助工具与手段的四大业务。
32,000039,中集集团,中国国际海运集装箱(集团)股份有限公司,广东,深圳市,1636.96亿,83.61亿,51746,1994-04-08,--,,金属制品,集装箱、道路运输车辆、能源、化工、液态食品装备、海洋工程、空港设备、物流服务、金融、房地产、重卡,主要从事集装箱、道路运输车辆、能源/化工/液态食品装备、海洋工程装备、空港装备的制造及服务业务。
33,000040,东旭蓝天,东旭蓝天新能源股份有限公司,广东,深圳市,--,--,572,1994-08-08,--,,太阳能,物业及房屋租赁、新能源、生态环保、供应链,"光伏电站投资、建设、运营,房地产开发与销售、物业管理等。"
34,000042,中洲控股,深圳市中洲投资控股股份有限公司,广东,深圳市,--,--,2489,1994-09-21,--,,房地产开发,房地产、服务、酒店、施工,房地产开发。
35,000045,深纺织A,深圳市纺织(集团)股份有限公司,广东,深圳市,22.94亿,7511.47万,1631,1994-08-15,--,,显示器件,物业及租赁、纺织品、偏光片,液晶显示用偏光片的研发、生产、营销。
36,000046,泛海控股,泛海控股股份有限公司,北京,北京市,--,--,9601,1994-09-12,--,,房地产开发,房地产销售、物业出租、物业管理、装修工程、金融投资、金融贸易,"项目投资,资产管理,房地产及旅游项目开发、物业管理(以上项目凭资质证经营),建筑设备、建筑装饰材料销售。"
37,000048,京基智农,深圳市京基智农时代股份有限公司,广东,深圳市,32.21亿,3.99亿,2293,1994-11-01,--,,饲料,农业、房地产业、金融,主要涉及现代农业及房地产业。
38,000049,德赛电池,深圳市德赛电池科技股份有限公司,广东,深圳市,194.71亿,7.94亿,10565,1995-03-20,--,,电池,锂电池的电源管理及封装集成业务,锂电池电源管理系统及封装集成业务。
39,000050,深天马A,天马微电子股份有限公司,广东,深圳市,318.29亿,15.42亿,26797,1995-03-15,--,,显示器件,电子元器件,从事显示器件及相关的材料、设备、产品的设计、制造、销售。
40,000055,方大集团,方大集团股份有限公司,广东,深圳市,35.58亿,2.27亿,2959,1996-04-15,--,,其他建材,智慧幕墙系统及材料产业、轨道交通设备产业、新能源产业、房地产产业,高端幕墙系统及材料产业、轨道交通屏蔽门设备产业、新能源产业、房地产等业务。
41,000056,皇庭国际,深圳市皇庭国际企业股份有限公司,广东,深圳市,--,--,960,1996-07-08,--,,物业租赁、物业管理,商业运营服务、金融服务、融资租赁服务,商业不动产运营管理业务、资产管理业务以及各配套服务业务。
42,000058,深赛格,深圳赛格股份有限公司,广东,深圳市,19.95亿,9882.69万,11590,1996-12-26,--,,专业市场,电子市场流通、智慧城市及城市服务、检验检测业务、新能源业务,以通信市场、电子专业市场为核心的电子市场流通业务，以检验检测与新能源为核心的战略性新兴业务，以物业经营及管理服务为核心的智慧城市及城市服务业务。
43,000059,华锦股份,北方华锦化学工业股份有限公司,辽宁,盘锦市,--,--,8332,1997-01-30,--,,石油加工,石化板块,石化板块。
44,000060,中金岭南,深圳市中金岭南有色金属股份有限公司,广东,深圳市,445.00亿,12.21亿,9664,1997-01-23,--,,铅锌,精矿产品、冶炼产品、铝型材、幕墙门窗、电池材料、有色金属贸易业务,铅锌铜等有色金属的采矿、选矿、冶炼和深加工。
45,000061,农产品,深圳市农产品集团股份有限公司,广东,深圳市,--,--,4863,1997-01-10,--,,专业市场,农产品流通、农产品供应链服务、农产品电子商务,农产品批发市场的开发、建设、经营和管理，大宗农产品电子交易和蔬菜种植等。
46,000062,深圳华强,深圳华强实业股份有限公司,广东,深圳市,228.41亿,10.43亿,2246,1997-01-30,--,,专业市场,电子元器件授权分销分部、电子元器件产业互联网分部、电子元器件及电子终端产品实体交易市场分部、物业经营及其他分部,面向电子信息产业链的现代高端服务业，为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、信息服务、数据服务和创新创业配套等服务，打造面向电子信息产业的国内一流线下、线上交易服务平台。
47,000063,中兴通讯,中兴通讯股份有限公司,广东,深圳市,1145.22亿,70.36亿,72584,1997-11-18,--,,通信传输设备,运营商网络、消费者业务、政企业务,致力于为客户提供满意的ICT产品及解决方案，集“设计、开发、生产、销售、服务”等一体，聚焦于“运营商网络、政企业务、消费者业务”。
